user_id,age_group,skin_type,acne_severity,breakout_location,product_sensitivity,allergen,skin_concern,acne_type,humidity,pollution,temperature,hormonal_phase,recommended_treatment
U0655,45+,Combination,Severe,Jawline and chin,Often reacts,Alcohol,Large pores,Papules,Low,Medium,Moderate,None,Retinoid Treatment
U0077,35-44,Combination,Mild,Jawline and chin,Rarely reacts,,Dark spots/Uneven tone,Blackheads,Low,Medium,Moderate,Ovulation,Niacinamide Serum
U0317,18-24,Dry,Mild,All over face,Sometimes reacts,Fragrance,Acne and breakouts,Blackheads,Medium,High,Moderate,Luteal,Niacinamide Serum
U1348,25-34,Normal,Moderate,Cheeks and jawline,Sometimes reacts,Sulfates,Dark spots/Uneven tone,Pustules,Low,High,Moderate,Follicular,Salicylic Acid Cleanser
U0572,18-24,Sensitive,Severe,All over face,Rarely reacts,Parabens,Dryness or flakiness,Cyst,Low,High,Hot,Follicular,Retinoid Treatment
U0919,13-17,Sensitive,Severe,Jawline and chin,Sometimes reacts,,Dark spots/Uneven tone,Pustules,Low,Low,Moderate,Luteal,Retinoid Treatment
U0755,35-44,Normal,Moderate,T-Zone (forehead/nose),Sometimes reacts,Fragrance,Dark spots/Uneven tone,Papules,High,Medium,Hot,Ovulation,Salicylic Acid Cleanser
U0548,13-17,Sensitive,Moderate,Cheeks and jawline,Rarely reacts,Fragrance,Anti-aging,Pustules,Medium,High,Hot,Luteal,Soothing Cleanser
U1340,13-17,Oily,Mild,T-Zone (forehead/nose),Often reacts,Sulfates,Acne and breakouts,Pustules,Medium,Medium,Moderate,,Soothing Cleanser
U1194,35-44,Combination,Severe,Jawline and chin,Sometimes reacts,Alcohol,Anti-aging,Papules,Medium,Low,Cold,None,Retinoid Treatment
U1084,35-44,Oily,Mild,T-Zone (forehead/nose),Rarely reacts,None,Large pores,Blackheads,Low,Low,Hot,Luteal,Niacinamide Serum
U0875,35-44,Combination,Mild,T-Zone (forehead/nose),Sometimes reacts,Parabens,Large pores,Cyst,Medium,High,Hot,,Retinoid Treatment
U1271,18-24,Oily,Moderate,Jawline and chin,Often reacts,Alcohol,Large pores,Pustules,Low,Medium,Moderate,None,Soothing Cleanser
U0072,25-34,Normal,Mild,Cheeks and jawline,Sometimes reacts,Fragrance,Large pores,Pustules,Low,High,Cold,Follicular,Gentle Hydrating Cleanser
U0986,13-17,Oily,Moderate,Cheeks and jawline,Rarely reacts,None,Dark spots/Uneven tone,Cyst,High,Medium,Hot,Luteal,Benzoyl Peroxide Treatment
U1415,35-44,Combination,Severe,Jawline and chin,Rarely reacts,Sulfates,Oily/Shiny skin,Blackheads,Low,Low,Cold,None,Retinoid Treatment
U1499,25-34,Combination,Moderate,Jawline and chin,Rarely reacts,Fragrance,Large pores,Pustules,High,Medium,Moderate,Luteal,Niacinamide Serum
