Age_Group,Skin_Type,Skin_Subtype,Sensitivity,Concern,Internal_Type,Ingredients,Concentrations,Effects,Treatment_Profile
14-18,Normal,Normal to Dry,Yes,Acne,Comedonal,Zinc PCA + Benzoyl Peroxide + Salicylic Acid,2.5% + 2% + 1%,"Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil","Zinc PCA(2.5%) + Benzoyl Peroxide(2%) + Salicylic Acid(1%) -> Controls sebum production, Kills acne-causing bacteria, Unclogs pores and removes excess oil"
14-18,Normal,Normal to Dry,Yes,Acne,Inflammatory,Zinc PCA + Benzoyl Peroxide + Niacinamide,2.5% + 5% + 1%,"Controls sebum production, Kills acne-causing bacteria, Reduces inflammation and regulates sebum","Zinc PCA(2.5%) + Benzoyl Peroxide(5%) + Niacinamide(1%) -> Controls sebum production, Kills acne-causing bacteria, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Acne,Fungal,Zinc PCA + Azelaic Acid + Salicylic Acid,10% + 2% + 1%,"Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil","Zinc PCA(10%) + Azelaic Acid(2%) + Salicylic Acid(1%) -> Controls sebum production, Reduces acne and improves skin texture, Unclogs pores and removes excess oil"
14-18,Normal,Normal to Dry,Yes,Acne,Cystic,Benzoyl Peroxide + Niacinamide + Azelaic Acid,2.5% + 5% + 10%,"Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture","Benzoyl Peroxide(2.5%) + Niacinamide(5%) + Azelaic Acid(10%) -> Kills acne-causing bacteria, Reduces inflammation and regulates sebum, Reduces acne and improves skin texture"
14-18,Normal,Normal to Dry,Yes,Dark Circles,Pigmented,Hyaluronic Acid + Caffeine + Vitamin C,1% + 3% + 10%,"Hydrates and plumps the skin, Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation","Hyaluronic Acid(1%) + Caffeine(3%) + Vitamin C(10%) -> Hydrates and plumps the skin, Reduces puffiness and improves circulation, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Dry,Yes,Dark Circles,Vascular,Vitamin C + Niacinamide + Caffeine,10% + 5% + 3%,"Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation","Vitamin C(10%) + Niacinamide(5%) + Caffeine(3%) -> Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum, Reduces puffiness and improves circulation"
14-18,Normal,Normal to Dry,Yes,Dark Spots,General,Alpha Arbutin + Niacinamide + Vitamin C,2% + 5% + 10%,"Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation","Alpha Arbutin(2%) + Niacinamide(5%) + Vitamin C(10%) -> Reduces hyperpigmentation and dark spots, Reduces inflammation and regulates sebum, Brightens skin and reduces pigmentation"
14-18,Normal,Normal to Dry,Yes,Dullness,General,Vitamin C + Lactic Acid + Green Tea Extract,10% + 3% + 1%,"Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits","Vitamin C(10%) + Lactic Acid(3%) + Green Tea Extract(1%) -> Brightens skin and reduces pigmentation, Gently exfoliates and improves skin radiance, Provides antioxidant and anti-inflammatory benefits"
14-18,Normal,Normal to Dry,Yes,Hyperpigmentation,General,Alpha Arbutin + Vitamin C + Niacinamide,2% + 10% + 5%,"Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum","Alpha Arbutin(2%) + Vitamin C(10%) + Niacinamide(5%) -> Reduces hyperpigmentation and dark spots, Brightens skin and reduces pigmentation, Reduces inflammation and regulates sebum"
14-18,Normal,Normal to Dry,Yes,Open Pores,General,Azelaic Acid + Salicylic Acid + Green Tea Extract,10% + 2% + 3%,"Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits","Azelaic Acid(10%) + Salicylic Acid(2%) + Green Tea Extract(3%) -> Reduces acne and improves skin texture, Unclogs pores and removes excess oil, Provides antioxidant and anti-inflammatory benefits"
