user_id,age_group,skin_type,acne_type,acne_severity,breakout_location,product_sensitivity,allergen,skin_concern,humidity,pollution,temperature,hormonal_phase,recommended_treatment
U0655,45+,Combination,Papules,Severe,Jawline and chin,Often reacts,Alcohol,Large pores,Low,Medium,Moderate,None,Retinoid Treatment
U0077,35-44,Combination,Blackheads,Mild,Jawline and chin,Rarely reacts,None,Dark spots/Uneven tone,Low,Medium,Moderate,Ovulation,Niacinamide Serum
U0317,18-24,Dry,Blackheads,Mild,All over face,Sometimes reacts,Fragrance,Acne and breakouts,Medium,High,Moderate,Luteal,Niacinamide Serum
U1348,25-34,Normal,Pustules,Moderate,Cheeks and jawline,Sometimes reacts,Sulfates,Dark spots/Uneven tone,Low,High,Moderate,Follicular,Salicylic Acid Cleanser
U0572,18-24,Sensitive,Cyst,Severe,All over face,Rarely reacts,Parabens,Dryness or flakiness,Low,High,Hot,Follicular,Retinoid Treatment
U0919,13-17,Sensitive,Pustules,Severe,Jawline and chin,Sometimes reacts,None,Dark spots/Uneven tone,Low,Low,Moderate,Luteal,Retinoid Treatment
U0755,35-44,Normal,Papules,Moderate,T-Zone (forehead/nose),Sometimes reacts,Fragrance,Dark spots/Uneven tone,High,Medium,Hot,Ovulation,Salicylic Acid Cleanser
U0548,13-17,Sensitive,Pustules,Moderate,Cheeks and jawline,Rarely reacts,Fragrance,Anti-aging,Medium,High,Hot,Luteal,Soothing Cleanser
U1340,13-17,Oily,Pustules,Mild,T-Zone (forehead/nose),Often reacts,Sulfates,Acne and breakouts,Medium,Medium,Moderate,None,Soothing Cleanser
U1194,35-44,Combination,Papules,Severe,Jawline and chin,Sometimes reacts,Alcohol,Anti-aging,Medium,Low,Cold,None,Retinoid Treatment
U1084,35-44,Oily,Blackheads,Mild,T-Zone (forehead/nose),Rarely reacts,None,Large pores,Low,Low,Hot,Luteal,Niacinamide Serum
U0875,35-44,Combination,Cyst,Mild,T-Zone (forehead/nose),Sometimes reacts,Parabens,Large pores,Medium,High,Hot,None,Retinoid Treatment
U1271,18-24,Oily,Pustules,Moderate,Jawline and chin,Often reacts,Alcohol,Large pores,Low,Medium,Moderate,None,Soothing Cleanser
U0072,25-34,Normal,Pustules,Mild,Cheeks and jawline,Sometimes reacts,Fragrance,Large pores,Low,High,Cold,Follicular,Gentle Hydrating Cleanser
U0986,13-17,Oily,Cyst,Moderate,Cheeks and jawline,Rarely reacts,None,Dark spots/Uneven tone,High,Medium,Hot,Luteal,Benzoyl Peroxide Treatment
U1415,35-44,Combination,Blackheads,Severe,Jawline and chin,Rarely reacts,Sulfates,Oily/Shiny skin,Low,Low,Cold,None,Retinoid Treatment
U1499,25-34,Combination,Pustules,Moderate,Jawline and chin,Rarely reacts,Fragrance,Large pores,High,Medium,Moderate,Luteal,Niacinamide Serum
